SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
EU27.1.0.0.0.UVGD,EU27,1,0,0,0,UVGD,European Union,01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760.1,6031.36,6341.08,6639.73,6823.11,7113.41,7442.8,7884.97,8260.28,8559.62,8792.71,9195.75,9600.08,10160.8,10788.36,11137.24,10651.75,11047.43,11408.72,11467.86,11595.77,11868.84,12307.78,12640.65,13168.01,13627.8,14122.2,13580.69,14795.1,16144.52,17205.1,17945.95,18644.28,19335.29
EU15.1.0.0.0.UVGD,EU15,1,0,0,0,UVGD,European Union (15 countries),01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6238.74,6492.31,6510.76,6808.77,7062.6,7421.85,7830.88,8182.64,8613.07,9219.75,9573.45,9887.94,10043.65,10521.38,10923.34,11510.15,12103.65,12066.88,11435.73,11900.89,12248.55,12494.74,12597.69,13047.48,13751.64,13850.31,14209.27,14620.28,15123.7,14435.51,15781.27,17199.52,18166.65,18987.43,19638.28,20272.0
EA19.1.0.0.0.UVGD,EA19,1,0,0,0,UVGD,Euro area (19 countries),01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5257.64,5485.28,5744.02,5987.41,6132.69,6381.16,6682.07,7036.94,7368.52,7619.74,7844.56,8180.12,8482.93,8940.64,9436.18,9671.81,9336.39,9600.21,9876.31,9907.59,10013.34,10254.98,10615.1,10906.04,11316.2,11690.85,12082.04,11564.47,12555.19,13656.74,14522.61,15071.12,15575.07,16102.36
EA20.1.0.0.0.UVGD,EA20,1,0,0,0,UVGD,Euro area,01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266.6,5497.97,5761.34,6006.33,6153.9,6404.14,6704.24,7060.57,7394.46,7648.5,7875.58,8213.93,8519.77,8981.26,9480.61,9720.38,9382.26,9644.7,9921.5,9952.38,10058.41,10299.85,10661.07,10953.61,11365.93,11743.07,12136.94,11615.21,12613.54,13724.35,14600.67,15156.73,15667.27,16199.72
EA12.1.0.0.0.UVGD,EA12,1,0,0,0,UVGD,Euro area (12 countries),01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4898.34,5163.42,5219.27,5439.53,5689.55,5927.4,6064.1,6306.94,6605.11,6950.57,7275.63,7519.11,7735.52,8059.84,8349.05,8788.08,9254.49,9470.1,9152.03,9408.99,9674.08,9698.52,9800.49,10035.14,10385.87,10669.02,11063.16,11419.09,11794.06,11279.32,12238.46,13302.14,14131.59,14659.0,15140.31,15645.5
DU15.1.0.0.0.UVGD,DU15,1,0,0,0,UVGD,EU15 (including D_W West-Germany),01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",314.501,342.931,374.204,408.988,453.179,495.31,535.758,571.956,622.482,696.523,785.505,871.466,969.866,1121.939,1301.841,1462.971,1678.408,1858.18,2043.38,2323.084,2620.464,2904.906,3176.334,3393.073,3684.601,3959.637,4183.632,4406.505,4813.866,5275.686,5681.224,6071.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA12.1.0.0.0.UVGD,DA12,1,0,0,0,UVGD,EA12 (including D_W West-Germany),01 Gross domestic product,Gross domestic product at current prices ,"Mrd ECU/EUR, Standard aggregation",224.098,247.029,272.872,300.842,334.107,365.708,396.383,424.778,472.405,531.665,600.385,667.374,748.937,886.498,1036.145,1158.711,1339.398,1488.652,1634.66,1840.9,2034.327,2210.561,2429.629,2610.051,2832.364,3023.364,3276.181,3449.252,3704.968,4063.662,4429.859,4730.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL.1.0.0.0.UVGD,BEL,1,0,0,0,UVGD,Belgium,01 Gross domestic product,Gross domestic product at current prices ,Mrd EURO-BEF,14.9664,15.8938,16.991,18.2776,20.4572,22.2956,23.939,25.659,27.4358,30.4319,33.8364,36.8178,40.8672,46.4351,54.1302,60.1243,68.3368,73.9212,79.108,85.0063,91.9382,96.3925,104.3078,110.505,119.3899,126.9783,132.9088,138.2645,147.9356,160.4111,170.0968,178.1976,187.121,192.7214,203.1069,210.4891,214.2871,224.1015,232.6238,242.3076,256.3764,264.3349,273.2559,281.2002,296.8197,310.0376,325.1515,343.6189,351.7431,347.7349,363.2424,378.7454,387.9349,394.6163,404.9583,415.538,428.4671,443.4072,459.4918,479.4449,463.7509,506.0472,563.7105,596.2027,613.9839,636.0555,655.1673
BGR.1.0.0.0.UVGD,BGR,1,0,0,0,UVGD,Bulgaria,01 Gross domestic product,Gross domestic product at current prices ,Mrd BGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.1972,0.2918,0.4344,0.7637,1.2757,2.1871,19.0324,26.46,25.0429,28.1249,30.9867,34.0687,36.6379,41.2013,47.0172,53.6084,63.4945,72.8471,73.1815,74.8876,81.1263,82.6428,82.2534,84.1477,89.5714,95.3494,102.683,109.7817,119.9065,121.0884,139.602,168.36,185.2325,202.8615,218.103,228.3165
CZE.1.0.0.0.UVGD,CZE,1,0,0,0,UVGD,Czechia,01 Gross domestic product,Gross domestic product at current prices ,Mrd CZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.237,881.482,989.512,1217.096,1388.72,1607.591,1840.556,1982.423,2168.884,2267.275,2399.7,2591.574,2704.466,2833.197,3087.777,3288.493,3530.252,3856.629,4037.564,3945.505,4032.952,4095.355,4118.386,4169.011,4377.991,4651.813,4843.03,5179.344,5475.773,5888.869,5828.318,6307.755,7049.872,7618.528,8010.659,8402.173,8815.991
DNK.1.0.0.0.UVGD,DNK,1,0,0,0,UVGD,Denmark,01 Gross domestic product,Gross domestic product at current prices ,Mrd DKK,43.938,48.754,54.935,58.477,66.844,75.086,82.414,90.846,101.292,115.612,128.066,141.74,161.437,185.83,207.993,232.255,269.024,298.429,332.641,370.338,399.085,437.804,500.646,551.728,609.682,661.771,709.975,746.848,777.759,821.025,855.374,890.268,923.321,927.919,992.368,1035.595,1087.147,1144.173,1185.218,1240.98,1325.983,1372.277,1411.479,1438.893,1509.674,1590.079,1685.241,1743.144,1809.721,1729.529,1812.896,1848.531,1892.938,1935.555,1980.261,2030.206,2101.52,2189.589,2243.542,2303.637,2326.592,2567.52,2844.228,2804.742,2960.886,3119.093,3239.776
DEU.1.0.0.0.UVGD,DEU,1,0,0,0,UVGD,Germany,01 Gross domestic product,Gross domestic product at current prices ,Mrd EURO-DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591.61,1709.89,1757.34,1838.02,1899.93,1928.56,1967.18,2022.31,2077.24,2129.66,2195.53,2223.36,2240.81,2293.04,2325.71,2426.18,2542.22,2589.68,2494.87,2616.06,2747.81,2800.38,2867.28,2985.17,3085.65,3196.11,3331.11,3431.13,3534.88,3449.62,3676.46,3953.85,4185.55,4305.26,4408.964,4553.813
