country,year,log_gdp_pc,treated
Cyprus,1990,10.122795037259934,0
Cyprus,1991,10.091487628055141,0
Cyprus,1992,10.165224158546115,0
Cyprus,1993,10.132076884022366,0
Cyprus,1994,10.182299965271808,0
Cyprus,1995,10.233092435414225,0
Cyprus,1996,10.225826275675294,0
Cyprus,1997,10.232919203228109,0
Cyprus,1998,10.277750831428762,0
Cyprus,1999,10.322633062239309,0
Cyprus,2000,10.379443420033343,0
Cyprus,2001,10.425615703059607,0
Cyprus,2002,10.426292354714962,0
Cyprus,2003,10.409836725861231,0
Cyprus,2004,10.467353604561493,0
Cyprus,2005,10.499429195693917,0
Cyprus,2006,10.554219844983177,0
Cyprus,2007,10.608027623253369,0
Cyprus,2008,10.679287947871696,0
Cyprus,2009,10.660505681721396,0
Cyprus,2010,10.65855937780684,0
Cyprus,2011,10.585098783822755,0
Cyprus,2012,10.54757276696158,0
Cyprus,2013,10.433063334606247,0
Czechia,1990,10.221042615571369,0
Czechia,1991,10.04513390704047,0
Czechia,1992,10.009008848503138,0
Czechia,1993,10.031497706348793,0
Czechia,1994,10.070521938065008,0
Czechia,1995,10.109441928671341,0
Czechia,1996,10.158427206604838,0
Czechia,1997,10.137000943856629,0
Czechia,1998,10.132393842680756,0
Czechia,1999,10.12651844191782,0
Czechia,2000,10.14326574339064,0
Czechia,2001,10.197310209999191,0
Czechia,2002,10.204578517899385,0
Czechia,2003,10.230611545645651,0
Czechia,2004,10.276811928898772,0
Czechia,2005,10.296494434070812,0
Czechia,2006,10.350943838650563,0
Czechia,2007,10.440239427208313,0
Czechia,2008,10.433955875570218,0
Czechia,2009,10.435159383673826,0
Czechia,2010,10.441309005896274,0
Czechia,2011,10.48988967582429,0
Czechia,2012,10.489289100036464,0
Czechia,2013,10.488907383060049,0
Estonia,1990,9.450242592378837,0
Estonia,1991,9.548293923536436,0
Estonia,1992,9.272571783935339,0
Estonia,1993,9.254324154300656,0
Estonia,1994,9.239571602730624,0
Estonia,1995,9.346914149867757,0
Estonia,1996,9.410124911011433,0
Estonia,1997,9.490566879494619,0
Estonia,1998,9.530566473357515,0
Estonia,1999,9.547180491646516,0
Estonia,2000,9.625132768175815,0
Estonia,2001,9.68029485852043,0
Estonia,2002,9.752737727838328,0
Estonia,2003,9.8135839155678,0
Estonia,2004,9.89980952224895,0
Estonia,2005,9.986441332295986,0
Estonia,2006,10.098139235230308,0
Estonia,2007,10.23228041837444,0
Estonia,2008,10.240748444329785,0
Estonia,2009,10.1366825156923,0
Estonia,2010,10.179318342016952,0
Estonia,2011,10.330325739494063,0
Estonia,2012,10.385040861230625,0
Estonia,2013,10.391925923428568,0
Hungary,1990,9.653985198840271,0
Hungary,1991,9.543291389125915,0
Hungary,1992,9.558962563823677,0
Hungary,1993,9.606134904248833,0
Hungary,1994,9.664293996575072,0
Hungary,1995,9.705914391105457,0
Hungary,1996,9.736618340054868,0
Hungary,1997,9.767667740685184,0
Hungary,1998,9.794362120470536,0
Hungary,1999,9.826489043585243,0
Hungary,2000,9.86777773983177,0
Hungary,2001,9.969057335926706,0
Hungary,2002,10.022071051821309,0
Hungary,2003,10.024088113019417,0
Hungary,2004,10.04643126200408,0
Hungary,2005,10.05651906563479,0
Hungary,2006,10.102284950614262,0
Hungary,2007,10.136622721846306,0
Hungary,2008,10.178587174201517,0
Hungary,2009,10.189321975067156,0
Hungary,2010,10.225649140445958,0
Hungary,2011,10.25235322206144,0
Hungary,2012,10.252528314701312,0
Hungary,2013,10.265059440761334,0
Latvia,1990,9.813377036158121,0
Latvia,1991,9.720634273846388,0
Latvia,1992,9.387846575135447,0
Latvia,1993,9.335420171137978,0
Latvia,1994,9.214462642699216,0
Latvia,1995,9.182641427780055,0
Latvia,1996,9.180360990135654,0
Latvia,1997,9.241958090545543,0
Latvia,1998,9.33348867728595,0
Latvia,1999,9.400878262231075,0
Latvia,2000,9.440762399213575,0
Latvia,2001,9.509519824277294,0
Latvia,2002,9.591174524607712,0
Latvia,2003,9.621104390040006,0
Latvia,2004,9.685957178018644,0
Latvia,2005,9.765973213933917,0
Latvia,2006,9.876539629068969,0
Latvia,2007,10.023569943170196,0
Latvia,2008,10.060662767202091,0
Latvia,2009,9.94976291130683,0
Latvia,2010,9.975633095446023,0
Latvia,2011,10.059247438336469,0
Latvia,2012,10.122967399016611,0
Latvia,2013,10.14059557531139,0
Lithuania,1990,9.695898805652448,0
Lithuania,1991,9.560455027935186,0
Lithuania,1992,9.38902925414841,0
Lithuania,1993,9.224063888697328,0
Lithuania,1994,9.188630590813633,0
Lithuania,1995,9.234083665547754,0
Lithuania,1996,9.304795460165714,0
Lithuania,1997,9.389513602093096,0
Lithuania,1998,9.460280857612885,0
Lithuania,1999,9.489977972001586,0
Lithuania,2000,9.552447935119948,0
Lithuania,2001,9.630032368163018,0
Lithuania,2002,9.699815043389362,0
Lithuania,2003,9.784824223412267,0
Lithuania,2004,9.832699457478965,0
Lithuania,2005,9.886811129515614,0
Lithuania,2006,9.971327717243463,0
Lithuania,2007,10.101073740583498,0
Lithuania,2008,10.153611943795635,0
Lithuania,2009,10.036884041716045,0
Lithuania,2010,10.108789310954293,0
Lithuania,2011,10.247865702878153,0
Lithuania,2012,10.320228591566417,0
Lithuania,2013,10.346541208784988,0
Malta,1990,9.803255627339537,0
Malta,1991,9.86075354241872,0
Malta,1992,9.872942578209617,0
Malta,1993,9.895897689299826,0
Malta,1994,9.946556881620639,0
Malta,1995,9.98903348869683,0
Malta,1996,9.986947465004492,0
Malta,1997,10.078987553469199,0
Malta,1998,10.13479595072195,0
Malta,1999,10.202192659795504,0
Malta,2000,10.248412136347582,0
Malta,2001,10.236680360833438,0
Malta,2002,10.264316104841308,0
Malta,2003,10.265717221066998,0
Malta,2004,10.267424595218667,0
Malta,2005,10.26530857876891,0
Malta,2006,10.283561462662663,0
Malta,2007,10.341137810407183,0
Malta,2008,10.39398335501523,0
Malta,2009,10.419185180443964,0
Malta,2010,10.482328089949947,0
Malta,2011,10.471720182956004,0
Malta,2012,10.514889831669555,0
Malta,2013,10.53966112960966,0
North Macedonia,1990,8.804752038483516,0
North Macedonia,1991,8.820596984806967,0
North Macedonia,1992,8.749798404936579,0
North Macedonia,1993,8.742593203385471,0
North Macedonia,1994,8.7787494882576,0
North Macedonia,1995,8.817635285679604,0
North Macedonia,1996,8.824234226732921,0
North Macedonia,1997,8.841588490434281,0
North Macedonia,1998,8.88653394188096,0
North Macedonia,1999,8.975384418295203,0
North Macedonia,2000,9.042291700889331,0
North Macedonia,2001,9.080017656486284,0
North Macedonia,2002,9.082962656025472,0
North Macedonia,2003,9.11899176120397,0
North Macedonia,2004,9.146508519089446,1
North Macedonia,2005,9.224415691923705,1
North Macedonia,2006,9.277982588995403,1
North Macedonia,2007,9.363381204906519,1
North Macedonia,2008,9.439426045824703,1
North Macedonia,2009,9.504077181646736,1
North Macedonia,2010,9.537757100109834,1
North Macedonia,2011,9.540637941183329,1
North Macedonia,2012,9.567253012772518,1
North Macedonia,2013,9.59212537760962,1
Poland,1990,9.247028327328188,0
Poland,1991,9.188398536120445,0
Poland,1992,9.248313435222936,0
Poland,1993,9.313796230898848,0
Poland,1994,9.382777317965413,0
Poland,1995,9.468995977316746,0
Poland,1996,9.533923511882236,0
Poland,1997,9.59116894183925,0
Poland,1998,9.643572653201735,0
Poland,1999,9.692532095464859,0
Poland,2000,9.715551911562683,0
Poland,2001,9.738640773874824,0
Poland,2002,9.766630431929128,0
Poland,2003,9.762205737040182,0
Poland,2004,9.81752564857876,0
Poland,2005,9.832761284161325,0
Poland,2006,9.891046097630419,0
Poland,2007,9.988113481039292,0
Poland,2008,10.02918240867556,0
Poland,2009,10.094762536728142,0
Poland,2010,10.154508778341658,0
Poland,2011,10.240611304884608,0
Poland,2012,10.26296104029042,0
Poland,2013,10.255948107525045,0
Slovakia,1990,9.977013052913453,0
Slovakia,1991,9.747554275201079,0
Slovakia,1992,9.676194285693748,0
Slovakia,1993,9.674914805551643,0
Slovakia,1994,9.723344989764932,0
Slovakia,1995,9.770673562433068,0
Slovakia,1996,9.780298509993179,0
Slovakia,1997,9.798919981964064,0
Slovakia,1998,9.792321562575749,0
Slovakia,1999,9.755731399919984,0
Slovakia,2000,9.791108184319564,0
Slovakia,2001,9.836713199084503,0
Slovakia,2002,9.876972306166094,0
Slovakia,2003,9.903450876884659,0
Slovakia,2004,9.946555031801,0
Slovakia,2005,10.00211852076051,0
Slovakia,2006,10.10052580721224,0
Slovakia,2007,10.234610467898767,0
Slovakia,2008,10.308962207544441,0
Slovakia,2009,10.28754880857975,0
Slovakia,2010,10.343778432773297,0
Slovakia,2011,10.38703811128758,0
Slovakia,2012,10.407505947643173,0
Slovakia,2013,10.38468119317242,0
Slovenia,1990,10.078171769364548,0
Slovenia,1991,9.94423107481521,0
Slovenia,1992,9.88871024341595,0
Slovenia,1993,9.951469087566602,0
Slovenia,1994,10.018324497985446,0
Slovenia,1995,10.07838796506334,0
Slovenia,1996,10.11452696109854,0
Slovenia,1997,10.142148702618188,0
Slovenia,1998,10.157269730726368,0
Slovenia,1999,10.190753415621526,0
Slovenia,2000,10.20735628088529,0
Slovenia,2001,10.231784058209882,0
Slovenia,2002,10.259950306452756,0
Slovenia,2003,10.270389393555984,0
Slovenia,2004,10.333512516364681,0
Slovenia,2005,10.352834822143533,0
Slovenia,2006,10.400226349076437,0
Slovenia,2007,10.466548323288725,0
Slovenia,2008,10.50793545718079,0
Slovenia,2009,10.432357279441947,0
Slovenia,2010,10.42966291122725,0
Slovenia,2011,10.469320525918148,0
Slovenia,2012,10.451817209393031,0
Slovenia,2013,10.447563607661259,0
