Age Year,Area,mean schooling
1990,Cyprus,9.54625
1991,Cyprus,9.74325
1992,Cyprus,9.94025
1993,Cyprus,10.13725
1994,Cyprus,10.33425
1995,Cyprus,10.53125
1996,Cyprus,10.706
1997,Cyprus,10.880749999999999
1998,Cyprus,11.0555
1999,Cyprus,11.23025
2000,Cyprus,11.405
2001,Cyprus,11.549249999999999
2002,Cyprus,11.6935
2003,Cyprus,11.83775
2004,Cyprus,11.982000000000001
2005,Cyprus,12.12625
2006,Cyprus,12.249500000000001
2007,Cyprus,12.37275
2008,Cyprus,12.496
2009,Cyprus,12.61925
2010,Cyprus,12.7425
2011,Cyprus,12.77425
2012,Cyprus,12.806000000000001
2013,Cyprus,12.83775
2014,Cyprus,12.8695
2015,Cyprus,12.901250000000001
2016,Cyprus,12.95475
2017,Cyprus,13.00825
2018,Cyprus,13.06175
2019,Cyprus,13.11525
2020,Cyprus,13.16875
1990,Czechia,11.573749999999999
1991,Czechia,11.6115
1992,Czechia,11.649249999999999
1993,Czechia,11.687
1994,Czechia,11.724749999999998
1995,Czechia,11.7625
1996,Czechia,11.796249999999999
1997,Czechia,11.83
1998,Czechia,11.86375
1999,Czechia,11.8975
2000,Czechia,11.93125
2001,Czechia,11.96825
2002,Czechia,12.00525
2003,Czechia,12.04225
2004,Czechia,12.07925
2005,Czechia,12.116249999999999
2006,Czechia,12.16075
2007,Czechia,12.20525
2008,Czechia,12.24975
2009,Czechia,12.29425
2010,Czechia,12.338750000000001
2011,Czechia,12.476750000000001
2012,Czechia,12.61475
2013,Czechia,12.75275
2014,Czechia,12.89075
2015,Czechia,13.02875
2016,Czechia,13.077
2017,Czechia,13.12525
2018,Czechia,13.1735
2019,Czechia,13.22175
2020,Czechia,13.27
1990,Estonia,12.22125
1991,Estonia,12.291749999999999
1992,Estonia,12.36225
1993,Estonia,12.432749999999999
1994,Estonia,12.50325
1995,Estonia,12.573749999999999
1996,Estonia,12.620249999999999
1997,Estonia,12.666749999999999
1998,Estonia,12.71325
1999,Estonia,12.75975
2000,Estonia,12.80625
2001,Estonia,12.834
2002,Estonia,12.86175
2003,Estonia,12.8895
2004,Estonia,12.917250000000001
2005,Estonia,12.945
2006,Estonia,12.9535
2007,Estonia,12.962
2008,Estonia,12.970500000000001
2009,Estonia,12.979000000000001
2010,Estonia,12.9875
2011,Estonia,13.08
2012,Estonia,13.172500000000001
2013,Estonia,13.265
2014,Estonia,13.357500000000002
2015,Estonia,13.450000000000001
2016,Estonia,13.442
2017,Estonia,13.434000000000001
2018,Estonia,13.426
2019,Estonia,13.418000000000001
2020,Estonia,13.41
1990,Hungary,10.45125
1991,Hungary,10.54625
1992,Hungary,10.64125
1993,Hungary,10.73625
1994,Hungary,10.831249999999999
1995,Hungary,10.92625
1996,Hungary,11.01425
1997,Hungary,11.10225
1998,Hungary,11.19025
1999,Hungary,11.27825
2000,Hungary,11.36625
2001,Hungary,11.43975
2002,Hungary,11.513250000000001
2003,Hungary,11.58675
2004,Hungary,11.660250000000001
2005,Hungary,11.73375
2006,Hungary,11.780750000000001
2007,Hungary,11.82775
2008,Hungary,11.87475
2009,Hungary,11.92175
2010,Hungary,11.96875
2011,Hungary,12.066
2012,Hungary,12.16325
2013,Hungary,12.2605
2014,Hungary,12.35775
2015,Hungary,12.455
2016,Hungary,12.4895
2017,Hungary,12.524
2018,Hungary,12.5585
2019,Hungary,12.593
2020,Hungary,12.6275
1990,Latvia,11.73
1991,Latvia,11.78725
1992,Latvia,11.8445
1993,Latvia,11.90175
1994,Latvia,11.959
1995,Latvia,12.01625
1996,Latvia,12.06025
1997,Latvia,12.10425
1998,Latvia,12.148249999999999
1999,Latvia,12.19225
2000,Latvia,12.23625
2001,Latvia,12.26125
2002,Latvia,12.28625
2003,Latvia,12.31125
2004,Latvia,12.33625
2005,Latvia,12.36125
2006,Latvia,12.3745
2007,Latvia,12.38775
2008,Latvia,12.401
2009,Latvia,12.414250000000001
2010,Latvia,12.4275
2011,Latvia,12.481250000000001
2012,Latvia,12.535
2013,Latvia,12.588750000000001
2014,Latvia,12.6425
2015,Latvia,12.696250000000001
