country,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio,placebo_rank,placebo_p_value
North Macedonia,-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055,1,0.09090909090909091
Cyprus,0.3097506606396749,0.3528068485377414,0.2666944727416084,0.037207116001823665,0.34093170158712965,9.163077879253509,2,0.18181818181818182
Czechia,0.0969423938364347,-0.002097847580274248,0.19598263525314366,0.023493033545041012,0.15097902557997067,6.426544502671935,3,0.2727272727272727
Slovakia,0.02443369744663464,-0.07802727676099792,0.1268946716542672,0.03406832183520624,0.12275553690287884,3.603216427761438,4,0.36363636363636365
Latvia,0.07507395972654204,0.08351837330247669,0.06662954615060741,0.0552353595154376,0.10492465660737114,1.8995921729819827,5,0.45454545454545453
Slovenia,0.0586818097264711,0.05715388926620228,0.06020973018673992,0.013680010393876644,0.07359364540656617,5.379648354617308,6,0.5454545454545454
Estonia,0.08142363525590532,0.10581134003190122,0.05703593047990942,0.04284840354718629,0.08725353289820655,2.03633101060859,7,0.6363636363636364
Hungary,-0.020020202176711698,0.00017359353046941806,-0.040213997883892814,0.03411670212762306,0.03353742526207309,0.9830207250576852,8,0.7272727272727273
Malta,-0.022132110476627533,-0.07682999815740459,0.03256577720414953,0.027357545342752913,0.07314988212231896,2.673846692232443,9,0.8181818181818182
Lithuania,-0.02165194817843936,-0.028217329596145292,-0.015086566760733434,0.04664826539477688,0.04327288083213774,0.9276417990235265,10,0.9090909090909091
Poland,-0.01707648268720412,-0.04442432761475636,0.010271362240348126,0.020454706210590524,0.06704275208173986,3.2776198979102498,11,1.0
