dropped_donor,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio
Poland,-0.4104446883366874,-0.22555431320581362,-0.5953350634675612,0.07457740778893254,0.4659430029483078,6.24777686383268
Latvia,-0.40885789590308014,-0.24308286622652914,-0.5746329255796312,0.0501574567169421,0.4563133235683118,9.097616853730525
Cyprus,-0.31078443082901475,-0.10344872507400851,-0.5181201365840209,0.044185179175716224,0.3921068516833796,8.874171362393795
Lithuania,-0.37108529197454787,-0.23729443633467504,-0.5048761476144208,0.04852301024005682,0.40906190686759747,8.430266482723445
Malta,-0.3074407452526282,-0.12374108332462903,-0.4911404071806274,0.03792338100571433,0.3732486877364431,9.842178567364593
None (baseline),-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055
Slovakia,-0.32015456167619616,-0.21756060303191765,-0.4227485203204747,0.03578089294413524,0.34860209390504593,9.742688491573391
Czechia,-0.3295433252075949,-0.2408453685625343,-0.4182412818526554,0.03331487252912046,0.3544546061813418,10.639530614187816
Hungary,-0.31328429289753645,-0.21534744757780225,-0.41122113821727063,0.03380439015557857,0.33902409330375344,10.028995989676389
Slovenia,-0.32734618661159265,-0.29387866346217245,-0.3608137097610129,0.051267159846852,0.346124995013269,6.751397893841439
Estonia,-0.24536233512514335,-0.14699110652277234,-0.3437335637275144,0.04243129367581933,0.27586667238286855,6.501490963026634
